图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,FMP-ED-预测置信度,FMP-LD-预测置信度,FMP-MD-预测置信度,FMP-OM-预测置信度,FMP-SD-预测置信度,HFP-ED-预测置信度,HFP-LD-预测置信度,HFP-MD-预测置信度,HFP-OM-预测置信度,HFP-SD-预测置信度,SJP-ED-预测置信度,SJP-LD-预测置信度,SJP-MD-预测置信度,SJP-OM-预测置信度,SJP-SD-预测置信度
../Image/Train_Image\test\FMP-ED\IMG_20230524_113720_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,5.0,HFP-ED,1.0,0.9739454,8.1188424e-05,0.018720714,0.004312543,0.0010606183,0.0011082923,4.0092705e-06,3.310365e-05,1.9095144e-06,3.74742e-05,0.00036841797,6.724806e-06,2.8873796e-05,5.3862026e-05,0.00023692129
../Image/Train_Image\test\FMP-ED\IMG_20230524_113736_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,5.0,HFP-ED,1.0,0.9931699,2.7822767e-05,0.0047729514,0.001482106,7.630191e-05,0.00036268544,9.270471e-07,3.5397716e-06,2.1591543e-06,5.497034e-06,3.691032e-05,7.766067e-08,5.678337e-06,4.621301e-06,4.8890168e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113740.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,5.0,HFP-ED,1.0,0.9103308,1.5535901e-05,0.0043829093,0.08208114,7.224145e-05,0.0030394883,8.029056e-06,8.412517e-06,2.7652836e-06,1.781633e-05,1.4531686e-05,3.9444167e-06,5.6673475e-06,3.9648503e-06,1.2838007e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113740_1.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,5.0,HFP-ED,1.0,0.97515196,4.9269042e-06,0.0056734695,0.015291921,6.6365606e-06,0.0037547152,3.497819e-06,1.8670225e-05,1.3498077e-05,3.5556048e-05,8.278378e-06,9.748376e-07,4.574812e-06,1.7722914e-05,1.3604955e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113743_2.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,5.0,HFP-ED,2.0,FMP-MD,1.0,0.97919613,0.00015468086,0.0025036158,0.0130891595,0.00029361193,0.003807773,4.5559195e-06,0.00027630152,1.1029916e-05,0.00046876204,1.1659293e-05,2.6237314e-05,1.6548456e-05,6.83901e-06,0.00013321078
../Image/Train_Image\test\FMP-ED\IMG_20230524_113744.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,5.0,HFP-ED,1.0,0.9586985,7.0788075e-05,0.031096915,0.008884451,0.00033502973,0.00047299854,3.0335539e-06,0.000106173815,1.6751181e-06,1.1001782e-05,3.9360068e-05,3.3500528e-06,1.16155e-05,3.9015767e-06,0.00026121904
../Image/Train_Image\test\FMP-ED\IMG_20230524_113747_2.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,14.0,SJP-SD,1.0,0.9795858,5.642672e-06,0.005741655,0.013360161,0.0001670731,8.054157e-05,6.3793664e-06,8.9052905e-05,2.3221492e-05,1.997223e-06,7.07016e-05,1.7725111e-05,1.9086672e-05,7.119383e-05,0.00075972284
../Image/Train_Image\test\FMP-ED\IMG_20230524_113748.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,14.0,SJP-SD,1.0,0.98693323,4.1220096e-06,0.0026575453,0.009394777,0.00013548788,0.00015251235,2.1860178e-06,1.9812762e-05,3.6621066e-06,1.0031478e-05,9.250765e-05,2.8758077e-06,1.0777262e-05,3.7224218e-05,0.0005432607
../Image/Train_Image\test\FMP-ED\IMG_20230524_113751_1.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,7.0,HFP-MD,1.0,0.98824114,3.0990635e-05,0.002124715,0.007522646,0.000447706,0.00049542426,8.326079e-05,0.0006011293,2.7541097e-05,5.0118288e-06,0.00020899526,8.4040505e-07,1.1489424e-05,6.9473076e-06,0.00019211727
../Image/Train_Image\test\FMP-ED\IMG_20230524_113751_2.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,5.0,HFP-ED,1.0,0.9891159,6.782697e-06,0.0030773513,0.007178955,0.00014647684,0.00019624653,1.0358071e-05,3.0563337e-05,3.376386e-06,1.8530769e-06,4.4731747e-05,2.118775e-07,4.4172316e-06,1.0385808e-05,0.00017223017
../Image/Train_Image\test\FMP-ED\IMG_20230524_113757.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.8439043,0.0026854181,0.13526061,0.010887095,0.006560463,0.0002054098,2.427564e-07,4.850829e-06,6.727324e-07,2.680683e-05,8.134608e-05,3.4156044e-05,6.426566e-05,2.4017207e-05,0.00026029156
../Image/Train_Image\test\FMP-ED\IMG_20230524_113757_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,1.0,FMP-LD,3.0,FMP-OM,1.0,0.83105373,0.0029411572,0.16157937,0.0026968194,0.0011400488,0.00033061096,5.996256e-08,1.0514202e-06,3.3826513e-08,9.045386e-06,1.4159277e-05,1.8689962e-05,1.44624555e-05,6.167105e-06,0.00019463057
../Image/Train_Image\test\FMP-ED\IMG_20230524_113803.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,1.0,FMP-LD,1.0,0.8470956,0.00092774804,0.08679266,0.06416099,0.0009150926,4.8468605e-06,9.508422e-07,9.3402656e-07,2.016952e-07,1.2915493e-06,4.6128775e-06,1.3546175e-05,1.7450257e-05,1.561667e-05,4.846993e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113803_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.7961632,0.0015725463,0.17268784,0.019947564,0.008301619,5.0452953e-05,1.8966838e-06,4.9850346e-06,3.09176e-07,6.628826e-06,0.000208566,7.612634e-05,0.00015069265,0.00025887412,0.0005686723
../Image/Train_Image\test\FMP-ED\IMG_20230524_113806_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.9699677,0.0002465156,0.02319089,0.0043981303,0.0014272811,0.00064229977,1.9149421e-07,6.000599e-07,5.559486e-08,3.5095306e-07,3.6675556e-06,7.930137e-06,7.5123276e-06,6.166289e-05,4.5159937e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113807.jpg,0,FMP-ED,0.0,FMP-ED,4.0,FMP-SD,3.0,FMP-OM,2.0,FMP-MD,1.0,0.87791854,0.0010207277,0.011731865,0.024883697,0.08426251,6.586194e-05,1.3485565e-06,1.3782404e-05,1.7484027e-07,1.10100245e-05,1.5811795e-05,4.125595e-06,3.780712e-05,1.1213899e-05,2.1510663e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113820_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,0.9636727,0.0011898979,0.01472732,0.0060477266,0.014144572,2.1831915e-05,6.1481337e-06,1.0675029e-05,4.9659197e-05,7.386874e-05,1.8234969e-05,2.7071997e-07,6.4186015e-06,9.613905e-07,2.980198e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113821.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.93309414,0.0011753166,0.04206217,0.014656808,0.008426684,1.6828264e-05,1.0460482e-05,2.6151993e-05,0.00011180482,1.3129195e-05,0.000118378535,1.02898e-06,2.3641998e-05,1.5279262e-05,0.00024827445
../Image/Train_Image\test\FMP-ED\IMG_20230524_113824.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,14.0,SJP-SD,3.0,FMP-OM,1.0,0.8059686,0.00045766856,0.19159709,0.00057154807,0.00025231825,5.679562e-05,1.221982e-07,5.4985395e-07,1.0134747e-06,4.7785623e-05,0.000101099475,2.9452299e-06,1.0451061e-05,3.6848564e-06,0.0009283761
../Image/Train_Image\test\FMP-ED\IMG_20230524_113824_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,14.0,SJP-SD,1.0,0.50625855,0.00019673973,0.49143264,0.0006849474,0.00015350868,0.00034851956,3.681751e-08,6.3296545e-07,1.2856967e-06,0.0002444441,0.00026353425,4.7566587e-06,8.668598e-06,2.1010732e-05,0.00038080316
../Image/Train_Image\test\FMP-ED\IMG_20230524_113828_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.9913284,0.00019154952,0.005077808,0.0029582235,0.00027886615,2.5818142e-06,6.033497e-07,4.80015e-07,3.3134795e-05,9.633124e-06,2.6881402e-05,2.593827e-07,1.1409888e-06,1.40806615e-05,7.650265e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113828_2.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,1.0,FMP-LD,1.0,0.96067286,0.0035054528,0.023234414,0.0034548882,0.005869835,8.419343e-06,3.0523843e-05,2.9531684e-06,0.0021709683,0.00018823524,0.00023202886,1.9188906e-06,2.340815e-05,4.7113546e-05,0.00055699487
../Image/Train_Image\test\FMP-ED\IMG_20230524_113832.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,0.816522,0.0001377092,0.18014474,0.0002607466,0.0022763326,0.000228944,4.778519e-08,7.599006e-07,5.457592e-07,5.1714997e-06,0.00015905272,2.9776928e-07,1.1644999e-05,1.0460573e-05,0.00024148855
../Image/Train_Image\test\FMP-ED\IMG_20230524_113832_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,0.7952167,0.00034772296,0.19647697,0.0004830404,0.006393631,0.00036150866,1.4456813e-07,8.311549e-07,7.559458e-07,5.975898e-06,0.00025290446,6.2743896e-07,1.5087386e-05,1.5017033e-05,0.00042910053
../Image/Train_Image\test\FMP-ED\IMG_20230524_113836.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.9817254,0.0001066761,0.011775302,0.004932068,0.0008678378,4.5925976e-06,4.4460158e-08,1.6368713e-06,3.266579e-05,8.307496e-06,0.00029915458,1.2833884e-07,7.5634975e-06,1.4747009e-05,0.00022390838
../Image/Train_Image\test\FMP-ED\IMG_20230524_113836_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,1.0,FMP-LD,1.0,0.9615433,0.0028505214,0.016290817,0.015621669,0.0026817848,0.00030897115,1.1249933e-06,5.9131685e-06,0.00010409996,0.00024173287,3.824149e-05,5.1514496e-07,3.2865773e-05,9.933756e-06,0.00026836814
../Image/Train_Image\test\FMP-ED\IMG_20230524_113841.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,1.0,FMP-LD,1.0,0.7486719,0.0007882279,0.0033767612,0.246941,7.804446e-05,2.853252e-05,1.9011223e-06,6.217077e-06,7.5888843e-06,9.919727e-07,9.088528e-06,1.358086e-07,2.562563e-07,1.2372546e-05,7.7046105e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113841_1.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,14.0,SJP-SD,1.0,0.9837129,0.00010815043,0.0026810782,0.01280638,8.786619e-06,1.1972e-05,2.2477095e-06,4.0587734e-06,3.425776e-06,1.0225688e-06,3.5757594e-06,2.0820622e-07,1.2642897e-06,2.1086571e-05,0.00063371484
../Image/Train_Image\test\FMP-ED\IMG_20230524_113844_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,1.0,FMP-LD,1.0,0.930667,0.00038157558,0.06515096,0.0031873763,0.00029255133,1.1910593e-05,3.537699e-07,1.3324151e-07,4.7579865e-06,1.1805704e-05,6.538425e-05,1.3596002e-06,9.686633e-06,8.407101e-06,0.00020673085
../Image/Train_Image\test\FMP-ED\IMG_20230524_113845.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,1.0,FMP-LD,3.0,FMP-OM,1.0,0.99461764,0.0008120933,0.0037214449,0.000694401,5.5896628e-05,4.170373e-05,1.00968364e-07,7.3779916e-08,1.012423e-05,1.9860996e-05,3.0301578e-06,1.4086315e-06,5.857363e-07,2.5979386e-06,1.9223336e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113848_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,1.0,FMP-LD,1.0,0.98788387,0.00028970794,0.010280599,0.0012993274,5.07793e-05,1.0737105e-05,3.5762046e-06,1.5548842e-06,5.1815266e-05,9.767782e-06,2.8631457e-05,9.855801e-07,1.6369077e-06,3.0852767e-05,5.620826e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113849.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,2.0,FMP-MD,4.0,FMP-SD,1.0,0.9901226,1.681723e-05,0.00071547844,0.009054238,2.5124722e-05,3.8064022e-06,2.6971154e-06,1.063837e-06,6.799741e-06,1.8268541e-06,1.987083e-06,6.174712e-08,8.2969285e-07,2.4054883e-05,2.249448e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113855_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.9731014,4.6150708e-05,0.01771927,0.008597902,0.00030985792,5.3569158e-05,1.594148e-06,4.4078383e-06,1.2169829e-05,2.476114e-05,7.411582e-05,9.594172e-07,2.9841829e-06,1.1287359e-05,3.9475995e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113856.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.88297445,0.00016703832,0.10990764,0.003319783,0.0032389672,4.0720122e-05,1.5516482e-06,6.719586e-06,3.2297783e-05,1.7719207e-05,9.575414e-05,5.222044e-07,1.879622e-05,8.496532e-06,0.00016945889
../Image/Train_Image\test\FMP-ED\IMG_20230524_113859_1.jpg,0,FMP-ED,0.0,FMP-ED,4.0,FMP-SD,2.0,FMP-MD,3.0,FMP-OM,1.0,0.9854499,4.728425e-05,0.0036975134,0.0012830369,0.00935577,9.243272e-06,2.8493757e-06,6.48741e-06,3.7756843e-06,1.2371093e-05,0.000110190245,7.3412565e-08,4.8705924e-06,3.441464e-06,1.32489e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113900.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,0.98652864,9.821591e-06,0.006408848,0.001091289,0.0058948775,3.1762029e-06,1.0035263e-06,2.0043146e-06,1.1140747e-05,3.2028044e-07,8.740238e-06,5.4876146e-08,9.3530724e-07,6.471286e-07,3.8414124e-05
../Image/Train_Image\test\FMP-ED\IMG_20230524_113903_1.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,1.0,FMP-LD,4.0,FMP-SD,1.0,0.9241513,0.0042748377,0.063043416,0.0037176192,0.003942553,3.401711e-05,1.5899201e-06,1.6747843e-05,6.119391e-05,2.9719671e-05,0.00028065298,1.0241827e-06,1.1424849e-05,9.381293e-06,0.00042455224
../Image/Train_Image\test\FMP-ED\IMG_20230524_113903_2.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,1.0,FMP-LD,3.0,FMP-OM,1.0,0.9049715,0.004966461,0.082406014,0.0027379591,0.0025884495,4.297989e-05,2.79694e-06,3.0250612e-06,5.6253844e-05,1.4697507e-05,0.00029844567,1.9861022e-06,3.676317e-05,2.7483999e-05,0.0018452773
../Image/Train_Image\test\FMP-ED\IMG_20230524_113907.jpg,0,FMP-ED,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,4.0,FMP-SD,1.0,0.97271574,0.00031859856,0.022938205,0.0022496046,0.0010928763,3.5991732e-06,1.1712652e-06,1.4419013e-06,3.943806e-06,5.251329e-06,0.000106099455,1.9217083e-07,5.83038e-06,1.4145797e-05,0.0005434299
../Image/Train_Image\test\FMP-ED\IMG_20230524_113907_1.jpg,0,FMP-ED,0.0,FMP-ED,3.0,FMP-OM,1.0,FMP-LD,2.0,FMP-MD,1.0,0.991848,0.002151434,0.0010119,0.003848514,0.0007880636,6.6396456e-06,6.188638e-07,7.697303e-07,5.1939082e-06,7.2487637e-06,2.4159022e-05,2.737322e-07,4.5756983e-06,5.510463e-06,0.00029701553
../Image/Train_Image\test\FMP-LD\IMG_20230522_180302_1.jpg,1,FMP-LD,1.0,FMP-LD,4.0,FMP-SD,0.0,FMP-ED,3.0,FMP-OM,1.0,0.01143488,0.9532966,0.0033380603,0.004659368,0.026753329,3.38702e-05,1.1251591e-05,0.00017728143,5.2604827e-07,1.0481897e-05,7.226848e-05,3.0809815e-06,0.00012813848,4.7686235e-06,7.602082e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180304.jpg,1,FMP-LD,1.0,FMP-LD,3.0,FMP-OM,0.0,FMP-ED,7.0,HFP-MD,1.0,1.3039544e-05,0.99950445,9.892026e-08,0.00048122223,3.327659e-07,9.564211e-08,1.5559225e-07,4.435362e-07,1.5113127e-09,6.9479555e-09,7.1074595e-09,2.2268726e-08,2.9198025e-08,4.130214e-08,6.598692e-08
../Image/Train_Image\test\FMP-LD\IMG_20230522_180306.jpg,1,FMP-LD,1.0,FMP-LD,3.0,FMP-OM,0.0,FMP-ED,4.0,FMP-SD,1.0,0.00035598036,0.99894124,3.8468268e-05,0.00045304853,8.4118554e-05,5.546924e-06,2.1709155e-05,5.6289984e-05,3.6323634e-08,6.511681e-07,8.7799945e-06,8.741653e-08,1.128135e-05,1.7444641e-07,2.2698985e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180308.jpg,1,FMP-LD,1.0,FMP-LD,3.0,FMP-OM,0.0,FMP-ED,4.0,FMP-SD,1.0,0.000258822,0.9986779,4.5906923e-05,0.0007583772,8.03707e-05,7.799842e-06,5.20499e-06,7.672464e-05,2.1116374e-08,8.34039e-07,1.1056669e-05,6.131734e-07,1.3275497e-05,6.6456204e-07,6.239996e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180309_2.jpg,1,FMP-LD,1.0,FMP-LD,7.0,HFP-MD,4.0,FMP-SD,0.0,FMP-ED,1.0,1.06082725e-05,0.99969876,1.1936514e-06,3.982061e-06,4.0444513e-05,3.527448e-07,2.5104512e-06,0.00023276098,7.581264e-09,8.297507e-08,3.0505225e-07,1.6498314e-08,4.4958324e-06,1.2449591e-08,4.4895555e-06
../Image/Train_Image\test\FMP-LD\IMG_20230522_180312.jpg,1,FMP-LD,1.0,FMP-LD,2.0,FMP-MD,4.0,FMP-SD,3.0,FMP-OM,1.0,2.2153616e-05,0.9994741,0.00026714551,6.507088e-05,0.00012947916,9.656802e-07,1.1434621e-07,2.111672e-05,3.4734995e-09,1.3675683e-08,3.0738892e-07,1.0505614e-07,9.060786e-06,4.8615075e-08,1.0331196e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180313_1.jpg,1,FMP-LD,1.0,FMP-LD,4.0,FMP-SD,0.0,FMP-ED,3.0,FMP-OM,1.0,0.00056641165,0.99758744,0.00022452138,0.00045767802,0.000992946,4.0179043e-06,9.189494e-07,0.00015313597,8.893858e-08,2.8552176e-07,1.1159158e-06,1.7055496e-07,4.0675773e-06,1.457432e-07,7.1088457e-06
../Image/Train_Image\test\FMP-LD\IMG_20230522_180315.jpg,1,FMP-LD,1.0,FMP-LD,4.0,FMP-SD,7.0,HFP-MD,2.0,FMP-MD,1.0,0.0003421678,0.9971365,0.00039361248,8.466251e-05,0.001440061,9.496746e-07,7.3404735e-06,0.00052040484,6.0468444e-08,5.1655297e-06,8.982164e-06,2.2511018e-07,5.464826e-05,1.0666039e-06,4.2855777e-06
../Image/Train_Image\test\FMP-LD\IMG_20230522_180333_1.jpg,1,FMP-LD,1.0,FMP-LD,3.0,FMP-OM,4.0,FMP-SD,0.0,FMP-ED,1.0,0.017481858,0.41032428,0.0015176714,0.40779397,0.15551962,0.0005410098,0.0004082851,0.0053696916,3.5339082e-05,3.3578977e-05,0.00016037916,1.025053e-06,0.00020478874,5.4081043e-05,0.00055451225
../Image/Train_Image\test\FMP-LD\IMG_20230522_180335_1.jpg,1,FMP-LD,1.0,FMP-LD,0.0,FMP-ED,4.0,FMP-SD,2.0,FMP-MD,1.0,0.0017288057,0.9968183,0.00052971806,2.4932318e-05,0.00080522016,2.395282e-06,4.6443918e-07,5.864246e-07,2.8371774e-06,3.789697e-06,4.9835802e-05,9.3807266e-08,2.8320953e-06,1.537963e-05,1.4675234e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180342_1.jpg,1,FMP-LD,1.0,FMP-LD,0.0,FMP-ED,2.0,FMP-MD,3.0,FMP-OM,1.0,0.0018080104,0.99673957,0.0012105714,9.784736e-05,9.024495e-05,3.3388897e-06,1.223778e-06,4.6948344e-07,1.0235015e-05,1.8085464e-07,1.146874e-05,4.676201e-07,8.207443e-07,9.685115e-06,1.58603e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180344.jpg,1,FMP-LD,1.0,FMP-LD,2.0,FMP-MD,4.0,FMP-SD,0.0,FMP-ED,1.0,0.0067615854,0.7941198,0.16774358,1.5970716e-05,0.030205598,0.0005491091,4.752746e-06,5.209814e-06,6.803535e-06,5.401159e-05,0.0003629625,2.2756933e-06,6.945896e-05,5.4172797e-05,4.470294e-05
../Image/Train_Image\test\FMP-LD\IMG_20230522_180348_1.jpg,1,FMP-LD,1.0,FMP-LD,4.0,FMP-SD,2.0,FMP-MD,0.0,FMP-ED,1.0,5.7349123e-05,0.99947435,7.457955e-05,1.9109857e-05,0.00035065628,3.1010504e-08,9.893086e-08,2.8489858e-08,1.5763595e-05,2.5127973e-08,8.542916e-07,3.884688e-08,5.146231e-07,6.2368026e-06,3.866336e-07
../Image/Train_Image\test\FMP-LD\IMG_20230522_180350_1.jpg,1,FMP-LD,1.0,FMP-LD,2.0,FMP-MD,0.0,FMP-ED,4.0,FMP-SD,1.0,0.14648853,0.63771415,0.1627163,0.00054806774,0.049110536,0.00015622425,9.49692e-05,1.4652729e-05,7.606431e-05,3.5888457e-05,0.0014454569,1.0070893e-05,5.858415e-05,0.0005050946,0.0010253814
