图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,开花成熟-中旱-预测置信度,开花成熟-轻旱-预测置信度,开花成熟-适宜-预测置信度,开花成熟-重旱-预测置信度,抽穗开花-中旱-预测置信度,抽穗开花-轻旱-预测置信度,抽穗开花-适宜-预测置信度,抽穗开花-重旱-预测置信度,起身拔节-中旱-预测置信度,起身拔节-轻旱-预测置信度,起身拔节-适宜-预测置信度,起身拔节-重旱-预测置信度
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111417_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.99997675,9.27201e-07,2.2938784e-07,1.6668948e-05,1.9684594e-08,2.992901e-10,6.04102e-10,1.5166597e-09,2.993064e-08,7.1474126e-08,7.195215e-07,4.6241935e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111419_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9997038,7.874558e-06,2.2429308e-06,0.0002645789,4.3555565e-07,2.00498e-08,2.6547893e-08,5.321697e-08,4.4902356e-07,6.911207e-07,3.3247588e-06,1.5127277e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111423_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,1.0,0.9999882,7.6148535e-07,1.0850182e-06,3.1165803e-06,3.326424e-08,9.64879e-10,2.0743216e-09,5.76101e-09,6.704456e-08,1.2438888e-07,1.0127584e-06,5.4722423e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111425.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9999765,2.3783764e-06,1.5658896e-06,1.48777735e-05,5.30192e-08,1.515052e-09,2.5560225e-09,6.3000862e-09,6.9341056e-08,1.0933939e-07,6.058139e-07,3.5737144e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111429.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9999628,9.700482e-06,9.96571e-06,9.486014e-06,1.7059656e-07,5.319267e-09,1.4807918e-08,1.579216e-07,3.0070686e-07,3.1855103e-07,1.1323726e-06,5.3177428e-06
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111437.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9984363,6.588721e-05,5.6386685e-05,0.001190633,9.281812e-06,4.820157e-07,4.1817674e-07,5.242466e-07,5.6384342e-06,8.507329e-06,4.8523005e-05,0.00015570853
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111439_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,1.0,0.99611264,5.0602182e-05,7.4977565e-05,0.0035740333,8.070038e-06,4.0595594e-07,2.894921e-07,1.0242882e-06,6.464644e-06,1.1537538e-05,3.3695138e-05,0.00010592162
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111440_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9997193,2.78405e-05,2.1663085e-05,0.00012557105,9.3640716e-07,9.501385e-08,9.345573e-08,2.420578e-07,2.134547e-06,2.3125235e-06,1.553182e-05,7.8668556e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111442_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,11.0,起身拔节-重旱,1.0,0.9994074,2.6036683e-05,0.00010498019,0.00038174394,3.5908065e-06,1.3455646e-07,1.3800549e-07,3.7167078e-07,1.9538802e-06,3.015256e-06,1.4846705e-05,4.9796276e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111444_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,1.0,0.99703646,7.655464e-05,0.00010145431,0.0025878425,8.923727e-06,3.3534533e-07,4.8585736e-07,4.929069e-07,2.7439805e-06,7.2267026e-06,4.1186744e-05,0.00012417765
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111446.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,11.0,起身拔节-重旱,1.0,0.9983583,1.7309894e-05,4.496989e-05,0.0015235796,3.6345468e-06,1.3252023e-07,8.766816e-08,1.8696048e-07,1.2716296e-06,2.1285027e-06,9.813473e-06,3.394434e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111507.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.99786454,0.00011242361,1.5381464e-05,0.0013880889,1.3368414e-05,3.8680167e-07,1.217803e-06,9.549069e-07,5.1627735e-06,8.614234e-06,7.846891e-05,0.00048250533
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111509.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.9954085,0.0007148428,0.0013119866,0.00060473516,7.127824e-05,3.8071062e-06,5.1206966e-06,9.124459e-06,3.3637527e-05,3.897733e-05,0.00031869838,0.0012366722
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111512.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,10.0,起身拔节-适宜,1.0,0.9999579,1.1349673e-06,1.1129407e-06,7.671473e-06,1.3664393e-07,2.1189857e-09,4.93661e-09,2.6489834e-08,2.6650625e-07,2.2093114e-07,3.6265476e-06,2.7643113e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111513_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,10.0,起身拔节-适宜,3.0,开花成熟-重旱,1.0,0.9998331,7.860786e-06,4.8349893e-06,8.333034e-06,6.9602095e-07,2.626192e-08,2.9010197e-08,5.7872096e-08,8.4206977e-07,1.2285203e-06,1.932414e-05,0.00012153139
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111515_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,0.9985391,0.0006326586,0.0001556015,0.00030578586,1.1188167e-05,8.204253e-07,7.7562675e-07,1.298232e-06,8.872812e-06,5.530131e-06,3.8493505e-05,0.00022951233
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111517.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.99984884,1.6423732e-05,1.346939e-06,2.7218173e-05,8.554328e-07,3.6090913e-08,4.3081133e-08,1.0807318e-07,1.3586948e-06,9.960552e-07,1.1082509e-05,8.7645756e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111519.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.9998728,1.7051974e-05,5.1765e-06,3.0348261e-05,6.5304334e-07,2.0098335e-08,3.527354e-08,5.787804e-08,7.281502e-07,9.762972e-07,1.0211353e-05,5.9556587e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111520_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,10.0,起身拔节-适宜,1.0,0.99989676,7.465124e-06,9.808327e-07,2.886086e-05,2.7190802e-07,7.980267e-09,9.152773e-09,1.8996031e-08,3.9610333e-07,5.329695e-07,1.0640966e-05,5.3379314e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111522.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,1.0,0.9991715,5.6824156e-05,0.0001422219,0.0001550707,1.369931e-05,6.681456e-07,8.288415e-07,1.8766094e-06,8.2203505e-06,7.382165e-06,5.8705213e-05,0.0003269047
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111523_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,0.9989868,0.0005006995,1.9208934e-05,0.00027138033,4.8145366e-06,4.2824294e-07,4.845276e-07,6.329154e-07,5.4408865e-06,7.7593495e-06,3.0649804e-05,0.00014534393
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111525_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9999106,2.5345791e-05,3.6866038e-06,1.0590626e-05,7.094505e-07,2.6632561e-08,3.6856505e-08,9.567987e-08,8.068314e-07,6.605589e-07,4.3850164e-06,4.0594954e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111527_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,10.0,起身拔节-适宜,1.0,0.99931896,2.469337e-05,4.639888e-06,0.00039628052,1.532424e-06,7.763876e-08,6.539186e-08,1.0642914e-07,2.8005563e-06,3.6591928e-06,5.1533723e-05,0.00019079691
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111529.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,10.0,起身拔节-适宜,1.0,0.99972814,9.473548e-06,9.55679e-07,7.0590984e-05,6.013916e-07,1.4305671e-08,2.0625368e-08,2.5935865e-08,7.811645e-07,9.74689e-07,2.8013033e-05,0.00015940909
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111530_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9998535,3.90687e-05,2.406155e-06,1.0886514e-05,5.131904e-07,2.495797e-08,2.013213e-08,6.876726e-08,1.2473756e-06,1.2641971e-06,1.00933175e-05,7.876867e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111535.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,1.0,0.9945069,8.688168e-05,9.015777e-05,0.0050293934,1.43186235e-05,3.4960942e-07,3.733781e-07,6.309213e-07,2.8902864e-06,1.4857466e-05,6.087206e-05,0.00017488262
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111537_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.97665703,0.0002733773,0.0001319461,0.02195389,6.798303e-05,3.185117e-06,3.6062615e-06,6.8601116e-06,1.8032752e-05,4.7046116e-05,0.0001378069,0.0005692969
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111539_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,11.0,起身拔节-重旱,1.0,0.99475205,0.0002057362,0.0010565676,0.0033697856,3.9646613e-05,1.4974265e-06,1.7772869e-06,5.5993632e-06,2.161587e-05,1.049302e-05,0.00010705974,0.00034136555
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111542_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,10.0,起身拔节-适宜,1.0,开花成熟-轻旱,1.0,0.9996911,2.7151635e-05,2.5905258e-05,1.845486e-05,2.0565133e-06,6.138935e-08,6.421253e-08,2.5140727e-07,2.488329e-06,2.7745236e-06,3.2146007e-05,0.00019080754
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111545.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,1.0,0.99942017,0.000109609064,3.2477685e-05,0.00019959798,6.148185e-06,2.3011312e-07,1.9227384e-07,4.0809593e-07,3.5351338e-06,5.255658e-06,2.6538071e-05,0.00017437577
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111546_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.99977475,3.547984e-05,2.0947902e-05,3.329404e-05,2.255951e-06,5.982856e-08,9.590035e-08,2.5332199e-07,1.6047312e-06,1.8634568e-06,1.627035e-05,0.00010548482
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111551_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.9997949,3.561721e-05,9.3400695e-06,4.4077748e-05,1.7980299e-06,6.021041e-08,4.644064e-08,1.5473216e-07,2.269334e-06,1.0986116e-06,1.0620174e-05,9.424216e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111553.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,10.0,起身拔节-适宜,1.0,0.9994149,2.0415717e-05,3.3586862e-06,0.00017616384,1.534244e-06,4.899188e-08,4.2021345e-08,1.0525489e-07,1.9817176e-06,3.6656393e-06,7.8427765e-05,0.00029557088
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111555.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,10.0,起身拔节-适宜,1.0,0.9986945,1.5019215e-05,1.7643459e-05,0.0010384421,3.088488e-06,5.116687e-08,3.5891244e-08,8.176458e-08,1.674359e-06,2.139519e-06,3.791892e-05,0.00018718414
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111556_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,1.0,开花成熟-轻旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,1.0,0.9995709,0.00022563127,3.267481e-05,4.5090634e-05,2.6680398e-06,1.488289e-07,1.4273095e-07,3.57366e-07,1.8791904e-06,1.4372188e-06,1.1257318e-05,9.710354e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111558_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.99886644,0.00023929127,8.9460125e-05,0.00023492765,1.264227e-05,9.321163e-07,1.2941017e-06,2.954267e-06,1.485277e-05,1.2592285e-05,5.911239e-05,0.0003456224
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111600_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.9999387,5.5845544e-06,6.000589e-07,1.2832629e-05,1.7870026e-07,5.7786735e-09,5.6036713e-09,1.736507e-08,3.781945e-07,4.3348965e-07,5.484735e-06,3.5185134e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111602_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,10.0,起身拔节-适宜,1.0,0.9988815,1.0573996e-05,5.3394723e-07,0.0008239562,5.86352e-07,2.2820005e-08,2.1825898e-08,2.9837757e-08,2.2496317e-06,2.6350092e-06,8.270868e-05,0.0001939611
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111604.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,10.0,起身拔节-适宜,1.0,0.9992466,4.3315697e-05,4.7063517e-05,0.00025753744,6.7758633e-06,3.0061273e-07,2.9687652e-07,6.1581164e-07,6.25978e-06,6.8873146e-06,6.919584e-05,0.0002968085
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111605_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,10.0,起身拔节-适宜,1.0,0.9988784,1.5605845e-05,7.1800337e-06,0.0006879294,1.4359998e-06,6.4944615e-08,7.330163e-08,1.7824999e-07,3.5803628e-06,5.4419406e-06,0.0001548569,0.00024015903
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180302_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,2.9883413e-08,0.99999976,3.3856127e-09,2.5799088e-07,2.2450466e-09,1.205139e-09,1.1837159e-12,1.3444118e-09,3.0386238e-10,5.2987996e-11,3.72714e-11,6.6516626e-11
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180304.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,4.32303e-08,1.0,5.420658e-09,5.2281838e-08,4.2624233e-09,4.2383457e-09,1.7344382e-12,1.1145547e-09,5.1967514e-10,1.0259355e-10,6.2966604e-11,7.697427e-11
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180306.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,1.2728225e-09,1.0,1.4721434e-10,7.893166e-09,3.5847873e-11,6.079661e-11,8.878663e-15,1.1197954e-11,5.7030366e-12,2.0497733e-12,1.3522564e-12,1.4733637e-12
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180308.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,3.7901446e-09,0.9999999,1.1388265e-09,1.4655477e-07,6.054552e-10,8.4235197e-10,5.112612e-14,6.411243e-11,1.5056827e-11,1.0950659e-11,1.1628935e-11,1.1900144e-11
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180309_2.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,5.0,抽穗开花-轻旱,0.0,开花成熟-中旱,1.0,2.0705306e-10,1.0,1.1789828e-11,4.348391e-09,1.31582245e-11,2.2380642e-10,3.943245e-14,4.4426757e-11,2.4247188e-11,1.2578885e-12,8.3719e-13,9.15431e-13
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180312.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,5.0,抽穗开花-轻旱,1.0,7.37289e-08,0.99999964,1.8173693e-09,2.923313e-07,1.8206929e-09,1.8836404e-09,8.0593637e-13,9.784077e-10,8.1000295e-10,1.8649213e-10,1.235646e-10,2.2132847e-10
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180313_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,4.0,抽穗开花-中旱,1.0,1.1797499e-06,0.9999975,3.3027348e-08,1.1867326e-06,6.064622e-08,6.2128795e-09,1.0501576e-11,2.0334447e-08,6.7861206e-09,3.7351704e-09,8.364581e-10,1.7542858e-09
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180315.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,5.0,抽穗开花-轻旱,1.0,1.454624e-09,1.0,1.5751726e-11,4.3442235e-08,1.9876115e-11,5.920142e-11,4.2001816e-14,2.9424452e-11,4.89788e-11,5.2877837e-12,5.2048314e-12,7.451198e-12
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180333_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,4.0,抽穗开花-中旱,1.0,1.5974867e-05,0.99891603,0.00032076403,0.00056987174,0.000102646,1.5536192e-05,4.189101e-08,5.421562e-07,3.774342e-07,1.1392099e-05,1.7963903e-05,2.3881747e-05
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180335_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,8.0,起身拔节-中旱,1.0,3.9122265e-09,0.99999845,4.6310514e-11,1.5747268e-06,5.286477e-11,4.1668222e-10,3.4116683e-12,2.1923617e-11,4.3537432e-10,1.1136572e-11,1.1080388e-10,1.9435932e-10
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180342_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,8.0,起身拔节-中旱,1.0,1.7811594e-08,0.99999607,8.3204416e-11,3.983147e-06,1.4384167e-10,9.1736196e-10,4.097406e-12,2.7173538e-11,1.6583105e-09,5.7650502e-11,1.4922177e-10,3.7579376e-10
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180344.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,8.0,起身拔节-中旱,1.0,1.1344787e-08,0.9998079,2.0089688e-10,0.00019214103,8.8286367e-10,8.134458e-09,6.461569e-11,2.6054428e-10,1.1276723e-08,1.0744015e-09,3.2164107e-09,4.5892197e-09
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180348_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,11.0,起身拔节-重旱,1.0,9.483646e-07,0.9993875,2.371419e-08,0.00061067706,2.704802e-08,5.835195e-08,1.6952996e-09,7.543108e-09,1.2300231e-07,2.0400996e-08,1.3318785e-07,1.4518974e-07
