图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-4-预测ID,top-4-预测名称,top-n预测正确,开花成熟-中旱-预测置信度,开花成熟-轻旱-预测置信度,开花成熟-适宜-预测置信度,开花成熟-重旱-预测置信度,抽穗开花-中旱-预测置信度,抽穗开花-轻旱-预测置信度,抽穗开花-适宜-预测置信度,抽穗开花-重旱-预测置信度,起身拔节-中旱-预测置信度,起身拔节-轻旱-预测置信度,起身拔节-适宜-预测置信度,起身拔节-重旱-预测置信度
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111417_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8915639,0.017940555,0.08553844,0.004163381,0.00027364635,1.0910961e-05,4.3739155e-06,4.149345e-05,9.772825e-05,8.152243e-05,1.2676504e-05,0.00010207587
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111419_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.89572394,0.020449037,0.07936487,0.0038509395,0.00018372016,7.78904e-06,3.5836672e-06,3.308737e-05,6.581528e-05,6.748344e-05,1.1501436e-05,0.000108213215
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111423_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9093076,0.014470399,0.07252893,0.00305893,0.00021361117,8.135768e-06,3.4597372e-06,3.2596407e-05,7.4960124e-05,7.4066316e-05,1.08676095e-05,9.098175e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111425.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9128345,0.0123900175,0.069650434,0.004593532,0.00018667446,6.761839e-06,2.7568444e-06,3.3869255e-05,6.7165645e-05,5.2344338e-05,8.177925e-06,7.054538e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111429.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.78537863,0.026952846,0.18032451,0.006621477,0.00025569525,1.3284823e-05,5.58819e-06,3.2016163e-05,9.782847e-05,5.486179e-05,1.0072574e-05,7.980987e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111437.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.89483756,0.01226422,0.08897212,0.0017221003,0.0006904133,2.6541149e-05,1.2164827e-05,4.2775453e-05,0.00023771454,0.00020295664,3.664684e-05,0.00025519714
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111439_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8935142,0.0103545915,0.09161512,0.0022813058,0.000538438,2.7818707e-05,1.466041e-05,3.9185015e-05,0.0002349534,0.00015044017,3.220466e-05,0.00024010162
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111440_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8314656,0.017398763,0.14708269,0.0011556153,0.0006676411,4.394991e-05,2.3761711e-05,3.4841487e-05,0.00031019148,0.0002454061,5.132745e-05,0.00035692265
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111442_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8478682,0.038498208,0.10660162,0.0033384357,0.00096375676,6.005432e-05,3.0046021e-05,6.0010465e-05,0.00039006732,0.00028253914,5.9904392e-05,0.00047740663
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111444_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8526272,0.025870275,0.11584593,0.0023693847,0.0007863468,4.7152917e-05,2.6898299e-05,4.990386e-05,0.00033009992,0.00025853084,5.4271222e-05,0.00038154182
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111446.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8898041,0.019273806,0.07831878,0.010504551,0.00065905345,3.1862233e-05,1.4657137e-05,6.5040505e-05,0.00024729344,0.00011129745,2.5895464e-05,0.0002438306
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111507.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.8525686,0.0152468765,0.10676349,0.024990227,0.00017315737,7.574384e-06,2.3661555e-06,4.6709953e-05,5.1756186e-05,2.2329736e-05,4.4629537e-06,5.3124564e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111509.jpg,0,开花成熟-中旱,2.0,开花成熟-适宜,0.0,开花成熟-中旱,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.26869208,0.054963645,0.44921306,0.22617641,0.00056784897,2.888005e-05,4.1677736e-06,9.815784e-05,0.00010391668,1.6956703e-05,3.2864857e-06,6.694148e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111512.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9298044,0.010964962,0.05473364,0.0028200687,0.0006377958,2.162436e-05,8.060968e-06,3.1981905e-05,0.00017866454,0.00012377539,2.4933914e-05,0.00027095995
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111513_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8547886,0.026381897,0.11334334,0.0025685336,0.0009056173,4.6164696e-05,1.8099849e-05,3.996304e-05,0.00029678104,0.00023741658,4.6224213e-05,0.00044153078
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111515_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.65613943,0.14328827,0.18997462,0.0060419366,0.0012877466,0.00010503792,4.3828346e-05,8.293809e-05,0.00048422482,0.00031718813,8.1152e-05,0.0007259629
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111517.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,0.8404418,0.075530276,0.07540145,0.0035595642,0.0014583902,8.014726e-05,3.3195116e-05,7.96636e-05,0.00047769523,0.00048422551,0.00010122978,0.0010265392
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111519.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.84527296,0.04359526,0.10475287,0.0028104873,0.0011551065,5.8143145e-05,2.4073921e-05,4.9457194e-05,0.00036080676,0.00031314345,6.0741444e-05,0.00057822175
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111520_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8711878,0.04581117,0.07649914,0.002575694,0.0012091345,5.737665e-05,2.3300778e-05,5.7660793e-05,0.00039342346,0.00038257428,7.293596e-05,0.00068482966
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111522.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.89623874,0.035754867,0.060698237,0.0040480136,0.0011630921,4.9316423e-05,1.901089e-05,5.3635595e-05,0.00035834676,0.00026120225,5.1391416e-05,0.0005643223
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111523_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.89856946,0.02668003,0.06946278,0.0026940121,0.0007916998,3.704415e-05,1.6651435e-05,4.1315572e-05,0.00026508025,0.00022970953,4.8179587e-05,0.00045392048
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111525_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8526694,0.01953275,0.122624025,0.002180314,0.00085886125,4.503861e-05,2.0254103e-05,3.6809855e-05,0.0002876873,0.00023216623,4.6416473e-05,0.0004119105
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111527_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9284497,0.009705381,0.057237204,0.0029546854,0.0006553588,2.0374453e-05,6.6637876e-06,3.0223346e-05,0.00017338379,0.00010915153,2.3137554e-05,0.00027785983
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111529.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8178153,0.08658383,0.08816651,0.0031570927,0.0012704594,6.811891e-05,2.9185527e-05,6.888376e-05,0.00041955357,0.00041785015,8.735304e-05,0.0008464286
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111530_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8014788,0.03886945,0.15411568,0.00262628,0.0009834041,4.7375357e-05,1.9144112e-05,3.791883e-05,0.0003311979,0.0002020773,4.5975565e-05,0.00044832914
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111535.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,1.0,0.87199885,0.021244274,0.050081864,0.05552224,0.00048252262,1.3300824e-05,3.6784254e-06,0.00016288688,0.000115228824,6.1007253e-05,1.212695e-05,0.00016428596
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111537_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.8385081,0.010763248,0.13915806,0.010999625,0.00018835042,7.9895435e-06,2.9802231e-06,3.858202e-05,6.839442e-05,3.8603182e-05,8.799099e-06,9.099106e-05
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111539_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.83121073,0.025417443,0.12099646,0.019142248,0.0010105376,6.401755e-05,2.0716037e-05,0.0001843564,0.00032737295,0.00017030256,4.3948923e-05,0.00038777693
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111542_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9135991,0.014366558,0.06855111,0.0018707445,0.00052723417,2.148547e-05,9.004902e-06,2.7353159e-05,0.00017263691,0.00014220743,2.8470138e-05,0.00026790623
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111545.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8650761,0.04752241,0.082318045,0.0022618677,0.00085409667,4.346915e-05,1.9283762e-05,4.979952e-05,0.0002785324,0.000309754,5.9835038e-05,0.0005198425
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111546_2.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8476311,0.06338926,0.079007335,0.0066905324,0.0011697174,5.3915148e-05,2.009638e-05,6.944325e-05,0.000339569,0.0002726611,4.973385e-05,0.000564268
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111551_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,0.74115795,0.13015898,0.11465434,0.009330042,0.0015065717,9.634089e-05,3.440566e-05,0.000107176944,0.0004884207,0.00037760896,7.786031e-05,0.00087145256
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111553.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9210421,0.019289719,0.05325966,0.0043321997,0.00062939245,2.7168318e-05,1.18062235e-05,5.473818e-05,0.00020754615,0.00016845808,3.742308e-05,0.00034622476
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111555.jpg,0,开花成熟-中旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,1.0,0.2752407,0.034084626,0.061858118,0.616796,0.0066253687,0.00021748051,1.28660395e-05,0.0026621048,0.0006998385,0.00018398152,4.229198e-05,0.001184426
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111556_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.7547515,0.03282464,0.20300771,0.004572831,0.0014308215,8.719755e-05,3.263618e-05,6.797607e-05,0.00045949683,0.0002825539,6.6116365e-05,0.00055246183
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111558_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.8265596,0.06234836,0.10120553,0.0071110586,0.0009633187,4.9577087e-05,1.7579445e-05,6.293953e-05,0.00029168325,0.00020366209,4.363429e-05,0.00049102155
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111600_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.9162224,0.014492147,0.06097263,0.0061077354,0.0008364817,3.307545e-05,1.0638003e-05,5.84392e-05,0.00023129734,0.00014244503,3.024523e-05,0.00034285037
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111602_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.85245305,0.013611849,0.10462233,0.027500493,0.0006705289,3.1736585e-05,8.4326875e-06,0.00010798802,0.00019245586,8.636192e-05,2.0502466e-05,0.00024288664
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111604.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,1.0,0.91756386,0.01897684,0.052328024,0.009869958,0.00044104492,1.7096983e-05,7.20045e-06,5.1930085e-05,0.0001417888,8.113334e-05,1.8415722e-05,0.00020668155
../Image/Train_Image\test\开花成熟-中旱\IMG_20230523_111605_1.jpg,0,开花成熟-中旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,开花成熟-轻旱,1.0,0.81991696,0.023235153,0.12761433,0.026426712,0.0012529597,5.4362154e-05,1.1996798e-05,0.00011687671,0.0002794394,0.00012505124,2.9055589e-05,0.00037163112
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180302_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,0.0,开花成熟-中旱,3.0,开花成熟-重旱,1.0,0.20667659,0.48811176,0.21868716,0.016411684,0.009197784,0.0022226584,0.0010172118,0.00087645114,0.005230473,0.0025306863,0.00093601603,0.0056735035
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180304.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,4.0,抽穗开花-中旱,3.0,开花成熟-重旱,1.0,0.013064788,0.7771409,0.13147563,0.015041853,0.026000675,0.008381698,0.0007249295,0.0010608608,0.0075254575,0.0014659545,0.00043037123,0.0057629975
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180306.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,4.0,抽穗开花-中旱,11.0,起身拔节-重旱,2.0,开花成熟-适宜,1.0,0.0005546241,0.98009723,0.0028407678,0.002504269,0.0042413953,0.0025852749,0.00023113094,0.00052446657,0.0014435783,0.00063825236,0.00022410418,0.003176101
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180308.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,4.0,抽穗开花-中旱,2.0,开花成熟-适宜,5.0,抽穗开花-轻旱,1.0,0.002007455,0.86123174,0.03448661,0.009864536,0.046419155,0.017075213,0.00057584635,0.0018811261,0.008155237,0.0018564234,0.00053027045,0.009876816
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180309_2.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,0.0,开花成熟-中旱,2.0,开花成熟-适宜,3.0,开花成熟-重旱,1.0,0.03994871,0.912405,0.02070171,0.005483885,0.0031158363,0.00094184105,0.00043849662,0.0004877212,0.001839986,0.0017467326,0.00062553346,0.0049887244
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180312.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,0.0,开花成熟-中旱,4.0,抽穗开花-中旱,1.0,0.0843789,0.6192353,0.22132725,0.014104384,0.014863914,0.0034465648,0.0008220414,0.000841676,0.0069155134,0.0022760706,0.00069038034,0.0062267496
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180313_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,0.0,开花成熟-中旱,4.0,抽穗开花-中旱,1.0,0.05899724,0.69309044,0.17000355,0.01386682,0.014708919,0.0039127464,0.0009266648,0.0009776374,0.0074807624,0.002396713,0.00076336676,0.007106985
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180315.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,0.0,开花成熟-中旱,3.0,开花成熟-重旱,1.0,0.05121561,0.8631524,0.05383103,0.006553623,0.0046274923,0.0011285561,0.00044709706,0.0005402108,0.002574178,0.0016334594,0.0005808317,0.004964276
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180333_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,2.0,开花成熟-适宜,4.0,抽穗开花-中旱,3.0,开花成熟-重旱,1.0,0.0020240725,0.80498505,0.1198574,0.009716392,0.04248404,0.0069806296,0.00018580267,0.001319727,0.0051425397,0.0011051567,0.00026225075,0.0037639902
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180335_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,0.0020215039,0.99707377,7.7719444e-05,0.00036331156,2.995517e-05,6.359506e-06,6.4813125e-06,5.0421455e-05,2.3999886e-05,8.994016e-05,2.9614825e-05,0.00021801968
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180342_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,11.0,起身拔节-重旱,3.0,开花成熟-重旱,7.0,抽穗开花-重旱,1.0,0.00016529221,0.998669,3.0155636e-06,0.0002511894,1.40920665e-05,5.7796005e-06,4.628048e-06,0.000189913,1.46204875e-05,0.00010928753,5.6428078e-05,0.00051537773
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180344.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,7.0,抽穗开花-重旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,0.00022163203,0.9221323,3.0416726e-05,0.017009122,0.00081370317,0.00023326617,1.7958453e-05,0.05673796,0.00016239041,0.00052193995,0.00012951325,0.001983466
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180348_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,7.0,抽穗开花-重旱,1.0,0.002064785,0.9937383,5.164505e-05,0.0019329418,0.00017540496,2.382246e-05,8.863099e-06,0.00081687304,6.756236e-05,0.00025976083,7.230509e-05,0.00077747536
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180350_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,0.0021459071,0.9933964,7.4947595e-05,0.0019083944,0.000273012,3.8161535e-05,1.2393372e-05,0.00081875204,9.097766e-05,0.00031387186,7.64468e-05,0.00083541183
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180352_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,11.0,起身拔节-重旱,1.0,0.0067390003,0.99102825,0.00015314047,0.00064422673,0.00013114198,1.8885014e-05,1.17108275e-05,0.00018561835,6.37168e-05,0.00032798926,6.858264e-05,0.0006037596
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180354.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,0.0,开花成熟-中旱,3.0,开花成熟-重旱,2.0,开花成熟-适宜,1.0,0.04241289,0.946262,0.0028132605,0.0057505397,0.00067208475,8.7897e-05,3.235697e-05,0.00027485567,0.0002663177,0.00036195188,7.7968136e-05,0.0008224258
../Image/Train_Image\test\开花成熟-轻旱\IMG_20230522_180357_1.jpg,1,开花成熟-轻旱,1.0,开花成熟-轻旱,3.0,开花成熟-重旱,0.0,开花成熟-中旱,7.0,抽穗开花-重旱,1.0,0.0009721033,0.9958573,3.375703e-05,0.002148461,7.28887e-05,1.6439379e-05,6.985443e-06,0.00045130367,3.1183103e-05,0.00011159742,2.2559268e-05,0.00027141965
